,固定DCA,HMM行业轮动
回测开始,2016-01-04,2016-01-04
回测结束,2025-12-31,2025-12-31
月度投入次数,120,120
累计外部投入（元）,120000.0,120000.0
期末资产（元）,143713.0455716064,196165.23659071213
累计盈亏（元）,23713.045571606403,76165.23659071213
投入累计收益率,0.19760871309672012,0.634710304922601
XIRR（资金加权年化）,0.035387830286555164,0.09497913478259921
时间加权累计收益,0.334635893349968,0.7275775953262242
时间加权年化收益,0.029315006456978043,0.056249534444021254
年化波动率,0.18855435638809076,0.2203445945308222
Sharpe比率,0.25325832596197606,0.368024099064868
Sortino比率,0.3557051510030222,0.5059999641752811
最大回撤,-0.45602619548225387,-0.5116111567885914
Calmar比率,0.06428360201101392,0.10994587138619567
月度胜率,0.5378151260504201,0.5210084033613446
平均现金占比,0.0,5.843325244446883e-15
总交易金额/平均资产,1.8352603147377655,98.30792760967014
总交易成本（元）,0.0,0.0
