年份,当年投入,累计投入,年末市值,累计盈亏,投入收益率,当年时间加权收益
2016,12000.0,12000.0,12342.113602498188,342.1136024981879,0.0285094668748489,-0.045830726967169944
2017,12000.0,24000.0,28358.934611646117,4358.9346116461165,0.18162227548525478,0.2177530452436196
2018,12000.0,36000.0,31192.184487632825,-4807.815512367175,-0.13355043089908825,-0.2530998347747131
2019,12000.0,48000.0,55801.481188554535,7801.481188554535,0.1625308580948861,0.3606961951737997
2020,12000.0,60000.0,85628.99393453708,25628.99393453708,0.4271498989089513,0.27210746525150253
2021,12000.0,72000.0,92799.32039048764,20799.320390487643,0.28887944986788394,-0.051987127947206946
2022,12000.0,84000.0,83852.49545299495,-147.5045470050536,-0.001756006511964947,-0.2163279268556808
2023,12000.0,96000.0,84956.33679243899,-11043.66320756101,-0.11503815841209386,-0.11378153387591272
2024,12000.0,108000.0,110614.54628767144,2614.5462876714446,0.02420876192288368,0.14683294910393396
2025,12000.0,120000.0,143713.03374839004,23713.033748390037,0.19760861456991696,0.17663173998897053
