年份,策略,当年外部投入,年末资产,年末投入收益率,当年时间加权收益,当年最大回撤
2016,固定DCA,12000.0,12342.119075265018,0.028509922938751542,-0.04582933850206328,-0.19381051175656994
2017,固定DCA,12000.0,28358.905001686737,0.18162104173694726,0.21775116681434725,-0.06067556114427086
2018,固定DCA,12000.0,31192.229428307513,-0.13354918254701353,-0.2530979159508351,-0.3187734986224018
2019,固定DCA,12000.0,55801.517104229606,0.1625316063381168,0.36069505163994253,-0.13491455629848836
2020,固定DCA,12000.0,85628.98856178728,0.4271498093631214,0.2721066000875827,-0.16079467994698993
2021,固定DCA,12000.0,92799.38795810938,0.28888038830707474,-0.0519863703586575,-0.18189688585139852
2022,固定DCA,12000.0,83852.59456575196,-0.0017548265981909283,-0.21632759307849836,-0.2865248746127562
2023,固定DCA,12000.0,84956.34898549182,-0.1150380314011269,-0.1137824494774029,-0.21513182088116933
2024,固定DCA,12000.0,110614.5884933358,0.024209152716072158,0.14683324055480584,-0.14405864920852673
2025,固定DCA,12000.0,143713.0455716064,0.19760871309672012,0.17663144096524608,-0.10491505592783135
2016,HMM行业轮动,12000.0,12054.876682999959,0.004573056916663321,-0.12206073635816761,-0.2566785860954163
2017,HMM行业轮动,12000.0,24158.225036371634,0.006592709848818101,-0.0014338542779571695,-0.1413815406726695
2018,HMM行业轮动,12000.0,28675.37339133467,-0.20346185024070362,-0.22967282253915278,-0.2932983224918351
2019,HMM行业轮动,12000.0,53795.97425579677,0.12074946366243267,0.39219610874656174,-0.14915044702933722
2020,HMM行业轮动,12000.0,101510.73514086915,0.6918455856811525,0.5925487774050682,-0.1494130956683688
2021,HMM行业轮动,12000.0,124669.57313247414,0.7315218490621407,0.10617962283481774,-0.16173549492886286
2022,HMM行业轮动,12000.0,102737.75262349096,0.2230684836129877,-0.2625458509742312,-0.31371699012920606
2023,HMM行业轮动,12000.0,102818.57668733726,0.07102684049309649,-0.10340263430119889,-0.23023123460097006
2024,HMM行业轮动,12000.0,132395.99235294657,0.22588881808283867,0.1534811669394407,-0.15364098791448888
2025,HMM行业轮动,12000.0,196165.23659071213,0.634710304922601,0.36760043421213884,-0.16653560599915296
